generation,fitness_mean,fitness_min,fitness_max,fitness_std,fitness_p5,fitness_p10,fitness_p25,fitness_p75,fitness_p90,fitness_p95,unstable_states,n_nets,n_genes
0,0.25667790219938136,0.035673993347252395,0.8751733190429475,0.3258976727964484,0.035673993347252395,0.8751733190429475,0.035673993347252395,0.035673993347252395,0.30119421191220214,0.8751733190429475,6,10,5
1,0.6732043493699065,0.5866462195100317,0.8751733190429475,0.13221972736556445,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
2,0.6308973040428425,0.035673993347252395,1.0,0.2803705881794809,0.15515809170147976,0.9438279935693262,0.27464219005570717,0.5866462195100317,0.8751733190429475,0.8876559871386527,1,10,5
3,0.5607092160405539,0.035673993347252395,0.8751733190429475,0.23341416741157708,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.5866462195100317,0.8751733190429475,1,10,5
4,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.0,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.5866462195100317,0,10,5
5,0.6443516394166149,0.5866462195100317,0.8751733190429475,0.11541083981316631,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.5866462195100317,0.8751733190429475,0,10,5
6,0.6735118585634151,0.30119421191220214,0.8751733190429475,0.18412441576814656,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
7,0.6446591486101234,0.30119421191220214,0.8751733190429475,0.1725026117798046,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8030415441597185,0.8751733190429475,0,10,5
8,0.5630099041373505,0.035673993347252395,0.8751733190429475,0.29177006279880746,0.035673993347252395,0.8751733190429475,0.035673993347252395,0.5866462195100317,0.8030415441597185,0.8751733190429475,2,10,5
9,0.6469598367069201,0.035673993347252395,0.8751733190429475,0.2449866564669491,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.8751733190429475,0.8751733190429475,1,10,5
10,0.7309097692764897,0.5866462195100317,0.8751733190429475,0.1442635497664579,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
11,0.7558751054679,0.5866462195100317,1.0,0.17466602381685936,0.5866462195100317,1.0,0.5866462195100317,0.5866462195100317,0.8751733190429475,1.0,0,10,5
12,0.7215373345139826,0.11844182901380365,1.0,0.26764510831988964,0.3291338047371063,1.0,0.539825780460409,0.5866462195100317,0.9687933297607368,1.0,0,10,5
13,0.8135805253744834,0.5866462195100317,1.0,0.15587505885589223,0.5866462195100317,1.0,0.5866462195100317,0.6587779943932607,0.8751733190429475,1.0,0,10,5
14,0.7725526565189951,0.30119421191220214,1.0,0.20154887403867236,0.4296476153312254,0.9438279935693262,0.5581010187502488,0.6587779943932607,0.8751733190429475,0.8876559871386527,0,10,5
15,0.7600699884232898,0.30119421191220214,0.8751733190429475,0.1906462752206241,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.6587779943932607,0.8751733190429475,0.8751733190429475,0,10,5
16,0.8876559871386526,0.8751733190429475,1.0,0.037448004287115755,0.8751733190429475,0.9438279935693262,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8876559871386527,0,10,5
17,0.8037060545690833,0.035673993347252395,1.0,0.2587015885549426,0.4134486899103152,0.9438279935693262,0.791223386473378,0.8751733190429475,0.8751733190429475,0.8876559871386527,1,10,5
18,0.6909034120462223,0.035673993347252395,1.0,0.3418762695603288,0.035673993347252395,0.9438279935693262,0.035673993347252395,0.6587779943932607,0.8751733190429475,0.8876559871386527,2,10,5
19,0.8463206090896559,0.5866462195100317,0.8751733190429475,0.08655812985987472,0.7164834142998437,0.8751733190429475,0.8463206090896559,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
20,0.9001386552343579,0.8751733190429475,1.0,0.049930672382821006,0.8751733190429475,1.0,0.8751733190429475,0.8751733190429475,0.8751733190429475,1.0,0,10,5
21,0.8014053664722868,0.30119421191220214,1.0,0.19335575879749894,0.4296476153312254,0.9438279935693262,0.5581010187502488,0.8751733190429475,0.8751733190429475,0.8876559871386527,0,10,5
22,0.7886151891830728,0.5866462195100317,0.8751733190429475,0.13221972736556445,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.6587779943932607,0.8751733190429475,0.8751733190429475,0,10,5
23,0.8463206090896559,0.5866462195100317,0.8751733190429475,0.08655812985987472,0.7164834142998437,0.8751733190429475,0.8463206090896559,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
24,0.7623706765200865,0.035673993347252395,0.8751733190429475,0.2570530379915787,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.8751733190429475,0.8751733190429475,0.8751733190429475,1,10,5
25,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.0,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
26,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.0,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
27,0.7335179665667949,0.035673993347252395,0.8751733190429475,0.2589580088203202,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.6587779943932607,0.8751733190429475,0.8751733190429475,1,10,5
28,0.8463206090896559,0.5866462195100317,0.8751733190429475,0.08655812985987472,0.7164834142998437,0.8751733190429475,0.8463206090896559,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
29,0.7748533446157918,0.035673993347252395,1.0,0.2651316149757523,0.2836114951205031,0.9438279935693262,0.5315489968937538,0.8751733190429475,0.8751733190429475,0.8876559871386527,1,10,5
30,0.7033860801419274,0.035673993347252395,1.0,0.3505454277147367,0.035673993347252395,1.0,0.035673993347252395,0.6587779943932607,0.8751733190429475,1.0,2,10,5
31,0.7010853920451308,0.035673993347252395,1.0,0.3047628988065024,0.15515809170147976,1.0,0.27464219005570717,0.5866462195100317,0.8751733190429475,1.0,1,10,5
32,0.7296305928049137,0.035673993347252395,1.0,0.27817967723895165,0.2836114951205031,1.0,0.5315489968937538,0.5866462195100317,0.8751733190429475,1.0,1,10,5
33,0.7132605509473274,0.035673993347252395,1.0,0.2867644194483402,0.2836114951205031,1.0,0.5315489968937538,0.5866462195100317,0.9687933297607368,1.0,1,10,5
34,0.7998186808072021,0.035673993347252395,1.0,0.2789209369710823,0.2836114951205031,1.0,0.5315489968937538,0.8751733190429475,0.9687933297607368,1.0,1,10,5
35,0.7046652566135033,0.035673993347252395,0.8751733190429475,0.2576378826577577,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.8751733190429475,0.8751733190429475,1,10,5
36,0.7623706765200864,0.035673993347252395,0.8751733190429475,0.2570530379915787,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.8751733190429475,0.8751733190429475,0.8751733190429475,1,10,5
37,0.7335179665667949,0.035673993347252395,0.8751733190429475,0.2589580088203202,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.6587779943932607,0.8751733190429475,0.8751733190429475,1,10,5
38,0.7886151891830728,0.5866462195100317,0.8751733190429475,0.13221972736556445,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.6587779943932607,0.8751733190429475,0.8751733190429475,0,10,5
39,0.7309097692764898,0.5866462195100317,0.8751733190429475,0.1442635497664579,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
40,0.7335179665667949,0.035673993347252395,0.8751733190429475,0.2589580088203202,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.6587779943932607,0.8751733190429475,0.8751733190429475,1,10,5
41,0.74179475013345,0.11844182901380365,0.8751733190429475,0.23690502229543944,0.3291338047371063,0.8751733190429475,0.539825780460409,0.6587779943932607,0.8751733190429475,0.8751733190429475,0,10,5
